episode,wave,rewards,equity,actor_loss,critic_loss,lr,v_viol,line_ovld,power_loss,shock_pct,steps_survived,g_V,g_T,g_G,g_C,lambda_V,lambda_T,lambda_G,lambda_C,max_v_dev,n_violations,max_loading
25,1,702.5962146901679,99.7646647239929,0.23569795489311218,0.46403956413269043,0.0001,12.102739726027398,0.0,0.0,0.0,438,0.022452710196375847,5.829341898788698e-05,0.13537494838237762,0.384893000125885,0.00017252467851674715,1.100648513728258e-06,0.0009272079386143784,0.002486717679799182,0.5889406387936579,12.102739726027398,0.8499772257456496
26,1,144.7374480263106,98.92903543025889,0.23569795489311218,0.46403956413269043,0.0001,12.170212765957446,0.0,0.0,0.0,94,0.027227288112044334,0.0003630588762462139,0.1373843252658844,0.4178421199321747,0.0001936319988436683,1.1110886373093303e-06,0.00105741761580248,0.002863575821920532,0.5940265959881722,12.170212765957446,0.7980724376566867
27,1,246.03846382074957,99.31282370431083,0.23569795489311218,0.46403956413269043,0.0001,12.326530612244898,0.0,0.0,0.0,147,0.025289906188845634,0.00025060505140572786,0.13640660047531128,0.3327290415763855,0.00019363199884366838,1.11108863730933e-06,0.0010574176158024797,0.0028635758219205313,0.590802720614842,12.326530612244898,0.8816527894565037
28,1,198.72948388312895,99.1930556640625,0.23569795489311218,0.46403956413269043,0.0001,11.88,0.0,0.0,0.0,125,0.025530638173222542,0.0001284352911170572,0.13571470975875854,0.38097354769706726,0.00019363199884366836,1.1110886373093299e-06,0.0010574176158024793,0.002863575821920532,0.5912959995269775,11.88,0.868299684047699
29,1,4.035426971268667,74.99296188354492,0.23569795489311218,0.46403956413269043,0.0001,37.75,0.0,0.0,0.0,4,0.15959139168262482,0.0023466767743229866,0.1385205239057541,0.2180999219417572,0.00019363199884366836,1.1110886373093299e-06,0.0010574176158024795,0.0028635758219205313,0.6909999996423721,37.75,0.9030263125896454
30,1,20.03401183300456,91.656312306722,0.23569795489311218,0.46403956413269043,0.0001,21.416666666666668,0.0,0.0,0.0,12,0.06887947767972946,0.00033238925971090794,0.13650037348270416,0.13634833693504333,0.00019363199884366838,1.1110886373093299e-06,0.0010574176158024797,0.0028635758219205313,0.644584039847056,21.416666666666668,0.9650453875462214
31,1,47.91122320773955,96.14363714364859,-0.05437247082591057,0.6498324275016785,0.0001,15.807692307692308,0.0,0.0,0.0,26,0.04316924139857292,0.00022061335039325058,0.1344393789768219,0.12008789926767349,0.00019363199884366833,1.1110886373093297e-06,0.0010574176158024795,0.002863575821920531,0.6141005800320551,15.807692307692308,0.982733795276055
32,1,36.887162151284734,95.99015716552735,-0.05437247082591057,0.6498324275016785,0.0001,15.52,0.0,0.0,0.0,25,0.043566957116127014,0.00038518180372193456,0.13764356076717377,0.38442906737327576,0.00022041004546955421,1.350952884675687e-06,0.0011874113628946826,0.003203037523795885,0.6044799995422363,15.52,0.8097341704368591
33,1,642.535234538917,99.74108475461715,-0.05437247082591057,0.6498324275016785,0.0001,13.244332493702771,0.0,0.0,0.0,397,0.023974386975169182,2.7739642973756418e-05,0.1377427577972412,0.37230977416038513,0.00022041004546955424,1.3509528846756873e-06,0.0011874113628946826,0.003203037523795885,0.5890377828996788,13.244332493702771,0.8657823389663504
34,1,289.11910596854625,99.41492294576126,-0.105058703571558,0.38887298107147217,0.0001,11.965317919075144,0.0,0.0,0.0,173,0.024255219846963882,0.00028080257470719516,0.1363171488046646,0.3402650058269501,0.00022041004546955427,1.3509528846756871e-06,0.0011874113628946826,0.0032030375237958844,0.5903844388923204,11.965317919075144,0.9009908830499374
